0:0:0:0:0:0:0:1 - - [06/Aug/2019:09:41:12 +0900] "GET /miniProject/vendors/superfish.min.js HTTP/1.1" 200 4474
0:0:0:0:0:0:0:1 - - [06/Aug/2019:09:41:12 +0900] "GET /miniProject/vendors/mail-script.js HTTP/1.1" 200 1230
0:0:0:0:0:0:0:1 - - [06/Aug/2019:09:41:12 +0900] "GET /miniProject/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Aug/2019:09:41:12 +0900] "GET /miniProject/vendors/jquery.ajaxchimp.min.js HTTP/1.1" 200 4820
0:0:0:0:0:0:0:1 - - [06/Aug/2019:09:41:12 +0900] "GET /miniProject/img/Logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Aug/2019:09:41:12 +0900] "GET /miniProject/vendors/nice-select/jquery.nice-select.min.js HTTP/1.1" 200 2942
0:0:0:0:0:0:0:1 - - [06/Aug/2019:09:41:12 +0900] "GET /miniProject/img/home/welcomeBanner1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Aug/2019:09:41:12 +0900] "GET /miniProject/img/home/welcomeBanner2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Aug/2019:09:41:12 +0900] "GET /miniProject/img/home/explore1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Aug/2019:09:41:12 +0900] "GET /miniProject/img/home/bed-icon.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Aug/2019:09:41:12 +0900] "GET /miniProject/img/home/explore2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Aug/2019:09:41:12 +0900] "GET /miniProject/img/home/explore3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Aug/2019:09:41:12 +0900] "GET /miniProject/img/home/welcomeBanner3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Aug/2019:09:41:12 +0900] "GET /miniProject/img/home/testimonial1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Aug/2019:09:41:12 +0900] "GET /miniProject/img/home/special.png HTTP/1.1" 304 -
